,company,description,link,location,title
31,Perfiles Tecnológicos,"The ideal candidate is a self- motivated, multi-tasker, and demostrated team -player. You will be a lead developer resposible for the development of new software products and enhacements to existing products. We are looking for experienced developers with ability to tackle issues on their own, report progress and manage projects with an outcome based mentality.
Requisitos
-Bhelor's degree in Computer Science -+3 years experience -Expertise in Object Oriented desing, Database Design, MVVM architecture, API development and XML Schema -Experience with front-end frameworks like Aurelia (Front end framework), Glup (taskrunner) JQuery (Javascript Library), npm (package manager), BootStrap and Sass (CSS library and pre- processors), OpenID / OAuth ( fot authentication) an Jasmine / Karma for testing. -Experience in system design and development using SQL Azure, Microsoft SQL Server Azure App services and other Azure - based Saas products. -Knowledge for intregrations based on Exchange Web Services, G Suite APIs, Microsoft Graph API. -Competent level knowledge of MWWM Architecture -Excellent knowledge of Object Oriented design and development -Extensive experience with Agile / Scrum software development methodologies -Development level experience in Microsoft Azure environments with TypeScript, ASP.NET, ASP, and C#, Web Services, JavaScript, JQuery, AngularJS, Bootstrap, PowerShell, CSS, HTML, UML, and XML.",https://cr.indeed.com/rc/clk?jk=58227a7607010608&fccid=f0d8b9c02aa333e1&vjs=3,"San José, Provincia de San José",Azure Front
32,Confidential,"About YouWe're looking for a forward thinking, engaging, Full Stack Senior Wordpress Developer with the ability to work closely with our design & marketing teams and manage multiple clients WP sites.You will live and breathe development and will be able to demonstrate your ability solve complex problems and move quickly to support clients and their unusual requests.You will be hungry to learn and grow and in return you will be welcomed into a tight knit, evolving team that is part of a unique agency with ambitious growth plans, also you must understand the dynamic of a streamlined team and sometimes to get the best result you must go above and beyond the expected.Above all you will have the right attitude, have A+ written+spoken English, able to work 1pm-9pm (lots of US based clients) and have a positive outlook on coming to work everyday.Skills & Requirements5+ years of experienceProgramming Languages: JavaScript, HTML/CSS, and PHP (at a minimum)Extensive development experience. Considers development beyond the brief, and extends it to include commercial aspects and client considerationsAbility to manage custom Wordpress themes, develop page templates, spec theme enhancements and either perform theme updates or manage theme development to support leading-edge designs and UXDemonstrates high levels of attention to detail and standards of accuracy in all code deliverablesExperience working with modern technology stacks including Optimizely, Marketo, Google Analytics, Google Search Console, and Google Tag ManagerIn depth knowledge of contemporary SEO techniques, multi-variate testing, quality control, code review and testing processesAbility to manage website projects, work efficiently on time sensitive initiatives and effectively collaborate across marketing functionsMaintains regular day-to-day contact with key internal stakeholders to manage their expectationsWorks to ensure clear communication with internal and external contacts through the most appropriate methodConfident communication, both written and verbalNice to HaveB.S. in Computer Science or a related fieldJob Types: Full-time, Part-timeSalary: ₡8,580.00 to ₡12,580.00 /hourExperience:Wordpress: 5 years (Required)Language:English (Required)",https://cr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C42uWlTcvQuSvYOtAav8PzwEmyqfcTD3ltHWCdPLhdUYorS3opGZQvGm0d7zjEri2TF-bveZjPY36Yp6PvrnjIVoYoo6PeuoRWkw70Jaj2LlZUkADIviLskz246y2Lp7tuLFfqtnNFxT3VrI_uXwlNr3wwWP4-93NF3MsqUb6-EAEVg2RWWlk_15YZ7REP1hETUv1z3C4xK--adgVe9UUyIiLpoy8lryBkohnQkfZkg5ZMY7fX0_OlDPMdmkFP9NaI69iuG8vh-QOLtj3xhKSjtZPcRJnTWHk4nl2QgtJf3MK5g_Jk081K2g1gF-KyXqlUFbfc933AEr1W_K4L0r-Y12dZX3_ERcWYhyzm_0EQp3-K0AxoYvyND5SfaTYH8XFILzCwGdsQVUwQfm-C_erCwV26ahODsqImWOad7zFe8gPp1s3tfnr0&p=10&fvj=1&vjs=3,"San José, Provincia de San José",Wordpress Developer - Senior - Full Stack
33,CreativeDrive LATAM,"Overview
Email developer will develop complex emails, using the final client platforms. The ideal candidate will also be self-motivated, have excellent communication skills (both written and verbal) and will also be a critical thinker.
Responsibilities
This person's primary role will be:
1. Code emails (HTML) from assets provided by Client Service applying all the good practices for email development.
2. Test the email to ensure that it renders properly across all the email clients.
3. Work side by side with the QA team to ensure copy fidelity and that the email has no bugs.
4. Also the developer will be responsible to set up the schedule for the emails created in the different Email Service Providers.
Qualifications
Education:
Bachelor’s degree in System/Software Engineer or equivalent work experience.

2+ years experience focused on email development (HTML, CSS)
Strong understanding of email development industry standards, email client limitations, and their many fallback options.
Experience working with ESP such as Mailchimp, Luminate, Constant Contact, etc.
Experience working with email testing tools such as Email on Acid or litmus.
Experience working with Adobe Creative Suite (Photoshop and Dreamweaver)
Soft Skills:
Teamwork
Proactivity
Critical Thinking
Attention to Detail
Languages:
English: 80%",https://cr.indeed.com/rc/clk?jk=da95934043f0dc38&fccid=dcf3d45477509dcf&vjs=3,"San José, Provincia de San José",EMAIL DEVELOPER MID LEVEL
34,Accenture,"Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture solves our clients’ toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world.

The Quality Assurance Analyst is a professional with a strong background in a technology field, such as Computer Science, Web Development or Design (for creative QA), and is responsible for certifying that all project deliverables meet quality goals.


Key Responsibilities

Quality Assurance (QA)
Ensures that development processes are followed.
Looks for improvement opportunities.

Quality Control (QC)
Creation of test plans and test cases to verify and validate project requirements.
Integrated testing across browsers and environments (development,testing and production).
Estimation and scheduling of testing efforts.
Creation of automated reusable testing assets that meets industry standards.

Required Experience
At least 2 years of proven experience working with software developers and project teams.
At least 2 years of proven experience writing and executing test scripts.
Experience running manual and automated tests.
English Advanced.
Experience analyzing business requirements and performing different types of testing: stress, performance, functional, end-to-end testing.
Experience testing in different environments including web, mobile and responsive sites.
Experience writing bug reports and providing objective feedback to software developers.
Experience designing tests to identify and mitigate risks.
Ability to work on multiple projects at the same time.
Ability to communicate findings to technical and non-technical colleagues.
Provide knowledge transfer and liaising with project teams in other parts of the world.


Possible Academic Background:
Degree or similar in: Programming, Computer Science, Web Development, Software Engineer, Information Technology.


Skills
Advanced computer skills.
Experience creating test plans and test cases.
Experience performing different types of testing required for specific QA Rounds.
Provides accurate status of assignments.
Gathers team metrics.
Reports issues and instructions to reproduce them accurately and on time.
Knowledge of Accenture working processes and software life cycles.
Pluses
Knowledge of automation testing tools.
Specialization in Quality Services (Six Sigma, IEEE, ISO, CMMI, ISTQB, CSQE).",https://cr.indeed.com/rc/clk?jk=5e6680b6a389dde6&fccid=a4e4e2eaf26690c9&vjs=3,"San José, Provincia de San José",Test Engineering Analyst
35,ParadigmCR,"A passion for user experience and front-end architecture

Relevant development experience in HTML5/CSS and JavaScript (especially AngularJS, Bootstrap, jQuery)

Experience using Restful APIs and AJAX

Familiarity with Model-View-Controller (MVC) architectures

Experience in creating re-usuable UI components is a plus

Writing unit and end-to-end tests

Comfortable working in an agile environment with a small team

Comfortable with Git source control.",https://cr.indeed.com/rc/clk?jk=beaafae1e1c87389&fccid=13b74e0717ac53fd&vjs=3,"San José, Provincia de San José",Front End Developer
36,Micro Focus,"Job Description:

At Micro Focus, everything we do is based on a simple idea: The fastest way to get results is to build on what you have. Our software solutions enable organizations to do just that. Secure and scalable, with analytics built in, they bridge the gap between existing and emerging IT—fast-tracking digital transformations across DevOps, Hybrid IT, Security, and Predictive Analytics. In the race to innovate, Micro Focus customers have the clear advantage.
Our portfolio spans the following areas:
DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, & Analytics
Responsibilities
Primary responsibility will be centered on developing UI for Micro Focus ArcSight's products namely ESM/Express. This includes, but is not limited to, developing, enhancing, maintaining, and executing feature development which utilize shared libraries, tools, and scripts in an Object Oriented environment.
Working closely with functional test team to design, develop, and contributing to making products more easily usable.
Additional responsibilities include working closely with development to reproduce problem reports and customer issues, setting up and maintaining test environments, and completing technical reviews of product documentation.
Collaborates and communicates with management, internal and outsourced development partners regarding development status.
Project progress, issue resolution and good understanding of agile methodologies.
Represents the software development team for all phases of larger and complex projects.
Excellent team player and focus on collaboration activities.
Ability to take up other duties as assigned.
Requirements :
4+ years of software development with enterprise-class software or related high volume web application development.
With 2 + years of experience in at least one of the following JAVA Frameworks:
Struts
JSP
Servlets
J2EE
Spring
MVC
Java Web Services creation
Performance tuning, Monitoring, and debugging for software applications.
Experience on Unix/Linux and Windows operating systems
Work closely with Manual QA team and Automation QA teams
Strong written and verbal communication skills
Self-driven quick learner with attention to detail and quality
Organized and process oriented individual with ability to maintain excellent process/design documentation and reports
Ability to adapt and willingness to learn new technology or techniques
Quick learner, strong analytical and problem solving skills.
Desired Experience:
Experience with source code management tools like Perforce or Git is a plus
Networking and security experience in configuring network equipment (firewalls, switches, routers)
Exposure to Core Java, good understanding of concepts like garbage collection, multithreading
Education and Experience
Bachelors or Master's degree in Computer Science, Information Systems, or equivalent.
Strong technical and business English usage of document reading, emails and conference calls
Effective verbal and written communication skills.
Java development training, certification is a plus.
What do we offer?
Extensive social benefits, flexible working hours, a competitive salary and shared values, make Micro Focus one of the world´s most attractive employers. At Micro Focus our goal is to provide equal opportunities, work-life balance, and constantly evolving career opportunities.
If you are looking for challenges in a pleasant and international work environment, then we definitely want to hear from you. Apply now below, or directly via our Careers Portal at www.microfocus.com/careers.
#LI-LL2
Job:
Engineering

Micro Focus is proud to be an Equal Opportunity Employer. Prospective employees will receive consideration without discrimination because of race, colour, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, genetic information, citizenship or any other legally protected status",https://cr.indeed.com/rc/clk?jk=7756501af2f112ca&fccid=83cbd453678ade10&vjs=3,"San José, Provincia de San José",Java Developer
37,Syniverse,"Job Summary: The Senior Enterprise Systems Analyst will have analyst and administrator responsibilities for one or several of our Syniverse enterprise-wide systems. In this role you will perform in-depth analysis of situations or data to evaluate variable factors, primarily ensuring data integrity within internal reporting systems. In this role, you must exercise good judgment in selecting methods, techniques, and evaluation criteria in order to obtain and communicate meaningful results and continuous improvement. Primary Responsibilities: • Management of enterprise-wide system and data (customer related objects, products, users, workflows, validation rules etc.) • Define system requirements with internal stakeholders • Maintain data quality in system with routine database cleansing • Provide administrative support to system users and stakeholders on a daily basis • Conduct analysis, design, evaluation, modification, testing and implementation of enterprise-wide system(s) across functional areas • Plan and directs studies of potential electronic data processing applications and prepares design proposals to reflect cost, time and alternative actions to satisfy existing and future needs of the corporation • Develop test plans and protocols for evaluation of system performance • Conduct analysis of systems specifications and uses the latest analysis/diagramming tools to represent business/technical processes • Develop conversion and system implementation plans • Prepare and obtain approval of system and programming documentation • Recommend changes in development, maintenance and system standards • Coordinate system upgrade activity • Train user personnel in the conversion and implementation of the system • Lead internal/external projects by specific request of business partners • Collaborate with stakeholders on technology enablement for business strategies • May include company-wide, web-enabled solutions Job Requirements: • Bachelor's Degree or equivalent experience • 5+ years professional experience implementing integrations with other enterprise-wide platforms and using the specific required enterprise-wide system (see Additional Information) • Work well within a team environment • Excellent written and verbal communication using the English language • Excellent Interpersonal Skills • Excellent Business Acumen • Excellent Analytical Skills • Excellent Presentation Skills • Ability to learn and adopt new technologies • Ability to thrive in a fast-paced, growing and changing environment",https://cr.indeed.com/rc/clk?jk=71cecacdb1486544&fccid=f9af5aebcecd8ef2&vjs=3,Costa Rica,Workday Developer
38,NTT DATA Services,"Req ID: 55693

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a COBOL Developers to join our team in San Jose, San José (CR-SJ), Costa Rica (CR).

Job Responsibilities:
Responsible for applying business and technical knowledge to ensure availability of our systems, and to provide quality solutions for business and enterprise software needs
Ability to perform an analyst role to complete high-level and technical systems design for small enhancements and customizations.
Develop business and technical requirements for small enhancements
Design, develop, test, document, and implement and maintain quality application software within targeted due dates
Complete the Production support, User support, Maintenance tasks assigned per the SLAs committed to the end customer.
Create documentation across system and functional areas, describing touchpoints and impacts at a total system level

Position Requirements:
Bachelor's degree in Computer Science, Management Information Systems, related field or related work experienceMinimum of 5-10 years of experience in software developmentStrong written and verbal communication skills, including the ability to explain technical issues and their implications for projects and business decisions, facilitate discussion and resolution of problems, and mentor other IS associates5-10 years in the following environments; COBOL, VSAM, CICS, and JCLMainframe Online and Batch DevelopmentStrong technical troubleshooting, diagnosing and problem solving skillsOrganizational skills and ability to work on multiple projects and/or assignment simultaneouslyCan work in a team-oriented environmentListening, verbal and written communications skills

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.
About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",https://cr.indeed.com/rc/clk?jk=ae74150dbca3b1ca&fccid=ac38a400acc8fe73&vjs=3,"San José, Provincia de San José",COBOL Developers
39,Cargill,"Position Purpose

The Application developer will work closely with business partners and other Global IT teams to deliver workflows development in Savigent. Candidates for this position are expected to be skilled professionals with general application development knowledge. This position is responsible for the successful development, design, and documentation for concurrent projects with a moderate range of complexity within Savigent software. This position requires a strong analyst who can partner effectively with others, drive results, identify and resolve problems, and make challenging decisions. This position is expected to follow the Cargill Project Delivery Process, Enterprise Architecture target architectures and Global IT’s Solution Development (Build) process and standards.

Principal Accountabilities

60% Configuration and Development:
Configure and/or develop Savigent workflows according to development standards.
Partner with infrastructure teams to enable configuration and development.
Setup and/or Utilize development environment that ensures limited or no production impact
Transition components to other environments.
Identify and store development logic and artifacts in a source repository.
Assess and mitigate risks associated with project development, deployment, and support.
20% Technical Analysis & Design:
Consult with BU, Platform and Function partners on standard application and integration design.
Analyze business requirements and create detailed technical specifications from which Savigent workflows will be written.
Collaborate with External Business Partners and/or software platform vendors on technical design and architecture.
Clearly articulates design options.
Design solutions that meet security, server capacity, performance, and usability and data integrity requirements.
10% Quality Assurance and Testing:
Prepare Savigent workflows test plans.
Perform Savigent workflow testing and provide support of end-to-end/user testing phases.
Ensure technical design and developed solution meet team’s and enterprise level standards.
Work closely with software deployment and Operations team to ensure successful transition and implementations.
Implement solutions for defects.
10% Other Project Delivery Responsibilities (may include some or all the following):
Manage workload and priorities to deliver agreed upon project milestones.
Prepare and execute training of users and operations teams.
Provide post-implementation support to Operations team through transition period.
Lead process improvement initiatives within team.
Qualifications

Minimum Required Qualifications
University degree in IT, Computer Science or equivalent experience
3 or more years successfully working as application developer or related experience on medium to large scale projects.
Experience collaborating with regional teams to define business requirements and deliver solutions that meet business goals
Advanced English level
Programming experience in C#, JSON scripts, asp.net MVC, HTML 5 for Web UI and Sql severDB
Project demands on occasion may require work during non-standard business hours. An example would be working with a BU partner or off-shore development team member in a different time zone.
Excellent verbal, written and technical communication skills and interpersonal skills
Strong problem-solving skills and attention to detail
Demonstrated ability to multi-task and work effectively within tight schedules
Preferred Qualifications
Experience with business process and solution design and improvement; knowledge of Manufacturing, Plant Maintenance processes and solutions
Working knowledge of Savigent and SAP MII
Knowledge of all components of enterprise architecture
Industry certification (Examples include ITIL, APICS, six sigma, etc.)

Job Information Technology
Primary Location Costa Rica-Heredia-San Antonio de Belen
Schedule Full-time
Job Type Standard
Shift Day Job",https://cr.indeed.com/rc/clk?jk=555f779d180a194f&fccid=d7d9a8241ba2f3ec&vjs=3,"San Antonio, Provincia de Heredia",IT Developer
40,Procter and Gamble,"Do you love to apply your deep IT knowledge to delivering technology-based business ideas and capabilities? Do you want to work at a place where technologies like artificial intelligence or big data meet real world problems? Thirsty for something new? Would you like to join a team of women and men IT professionals who work on groundbreaking solutions every single day? We have the position for you!
In P&G IT - whether your role is to craft an IT innovation strategy for a business, protect our critical information systems and assets, or handle a strategic supplier in our state of the art service organization - your passion for technology and its business application is recognized and rewarded.
As an BARS technical leader , you will lead the delivery of the solution design (eg. functional specifications), development, quality assurance and release management (box configurations, cutover planning, etc…) alongside with owning all technical dependencies for the project - Financial Platform Transformation (FPT)
At the same time you will coordinate with Project Managers, Service Managers, IT Operation Managers and Architects for solution development and leverages the vendor/suppliers to deliver it. Owns application continuity plan, user documentation and relevant IT CSAs.

About us

P&G serves consumers around the world with one of the
strongest portfolios of trusted, quality, leadership brands, including Always®,
Ambi Pur®, Ariel®, Bonux®, Braun®, Blend-a-Med®, Fairy®, Gillette®, Head &
Shoulders®, Lenor®, Naturella®, Olay®, Oral-B®, Pampers®, Pantene®, Vizir®,
Vicks® The P&G community includes operations in approximately 70 countries
and more than 100 thousand employees worldwide. Please visit www.pg.com for the
latest news and information on P&G and its brands.

Our company is committed to providing equal opportunities in
employment. We value diversity and we do not discriminate on the basis of race,
religion, color, national origin, gender, sexual orientation, age, marital
status, veteran status, or disability status.

We are looking for people with:
Knowledge of SAP S/4 HANA with emphasis on BW Modeling, SAP Fiori, Analysis for Office and SAP Lumira.
Experience on software development and handling the application lifecycle. (Requirements, Design, Build, Testing, Release and deployment).
Knowledge of ITIL Processes and Service Now (Incident, Change Management, Fulfillment, Problem Record, etc.)
Knowledge on Project Management Methodologies (Waterfall and Agile).
Collaboration in a large project and program team (eg. Architect, Developers, Master Data, Security, User Experience) to be able to deliver the different application components.
Ability to translate business needs into technical requirements and implementation plans using SAP S/4 HANA / BW Technology.
Ability to Influence – The role requires ability to convey technical information to non-technical people and able to influence and gain alignment.
Good communication skills (written and verbal).
Vendor Governance: handle vendor resources and prioritize work you're doing according to implementation plan.
This is global role and the organization is located in multiple hubs across the globe, and the work involved requires team interaction and getting results with and through others. We offer:

P&G-sized projects and access to world leading IT partners and technologies from day one.
Full set of trainings and skills in Agile methodologies, ITIL, DevOps, and specific e-Document solutions as well as Industry certifications.
Work in international teams with global responsibilities.
Friendly and supportive atmosphere at work.
Mentoring programs, trainings and industry certifications.
Flexible work arrangements (working less than full time, work from home).
Vibrant Living programs (sport cards, in-office fitness center).
Competitive salary and benefits program (private health care, PG stock, saving plans).",https://cr.indeed.com/rc/clk?jk=8c9e181f4a47bee9&fccid=2da0dedf6df97194&vjs=3,"San José, Provincia de San José",BARS Information Techonology Leader
41,Accenture,"Accenture solves our clients' toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world. Accenture solves our clients’ toughest challenges by providing unmatched services in strategy, consulting, digital, technology and operations. We partner with more than three-quarters of the Fortune Global 500, driving innovation to improve the way the world works and lives. With expertise across more than 40 industries and all business functions, we deliver transformational outcomes for a demanding new digital world.

Support design build and test web-based applications for various site components and edit site content. Program the codes that dictate web page elements for positioning, styling and sizing information. Create and manage web pages, add/edit content and upload/remove documents using CMS or platforms, using semantic markup language i.e. HTML5/CSS/JS, to turn static Photoshop designs into working web pages or emails.

Key Responsibilities

Awareness and Communication
Content uploading, gathering and Maintenance
Domain Management Service
Layout Management
Web Development

Required Experience

Fluent English.
Desirable Business Analyst Experience.
Experience dealing with customers over the phone.
At least 2 years of proven experience as a web developer working in the implementation of responsive web sites.
Strong knowledge of JavaScript libraries like jQuery and understanding on how to efficiently interact with DOM elements and add event listeners.
Understanding of responsive implementations and how to apply them to elements in web sites.
Experience working in agile projects and play an active role during daily, planning and retrospective meetings.
Experience working on enterprise projects, following defined guidelines by architects and product owners.
Experience with peer review methodologies and their importance for the projects quality.

Skills

HTML (HTML 4.01, XHTML, HTML 5)
CSS (CSS1, CSS2, CSS3 Cross-browsing, pixel perfect concept, validation)
JS (DOM, Core, JSON, AJAX, Frameworks: jQuery, Node, Backbone, AngularJS)
Image Manipulation
XML/JSON
Front-End Tools
Web Optimization
Unit Testing / Quality Assurance
Emails
CMS Templating
Accessibility
Usability
SEO
Social Networks
Analytics

Soft Skills

Managing Work
Communicating Effectively
Creating Business Value
Building & Maintaining Relation

Pluses

Create and versioning email responsive templates
HTML5 Local Storage API
Mobile first
Knowledge in MVC frameworks (Angular.js, React, Vue, Backbone)
Knowledge of Build Tools and Workflows (examples: Grunt, Gulp, Rake, Ant, Yeoman, Bower, etc.)
Node.js
Debugging experience on mobile devices
Usage of mobile emulators
Flexbox
Knowledge in SSH
Experience with web performance measurements tools: PageSpeed, YSlow
Optimization of HTTP Requests
Experience with HTTP monitoring tools (Charles, Fiddler, HttpFox, Network tab)
Intermediate knowledge about email standards
Creating and versioning email templates
Responsive emails
Knowledge of accessibility concepts applied to web sites
Knowledge of basic guidelines related to Web Accessibility Initiative
Integration with Adobe Analytics / Adobe Dynamic Tag Manager

Possible Academic Background:

Programming
Computer Science
Web Development
Software Engineer
Information Technology",https://cr.indeed.com/rc/clk?jk=12198015b9d82c4d&fccid=a4e4e2eaf26690c9&vjs=3,"San José, Provincia de San José",Web Developer Analyst
42,MBC Developers,"Nombre del puesto: Desarrollador Practicante

Perfil del puesto: Se requiere estudiante de ingeniería en sistemas en modalidad de práctica o pasantía, que desempeñe labores de programación de nuevas aplicaciones, así como el mantenimiento de las mismas.

Funciones del puesto:

Programación
Trabajar bajo cronograma
Presentación periódica de avances
Documentación Técnica y de Usuario
Trabajo en equipo


Requisitos:

Estudiante de ingeniería en sistemas / modalidad de práctica o pasantía
Conocimientos en el desarrollo de aplicaciones asp.net.
Conocimientos en HTML y CSS.
Conocimientos de programación en base de datos MS SQL.
Horario de 8 a.m. a 5:30 p.m. de Lunes a Viernes, San Jose.


Deseable:

HTML5 y CSS3
Javascript
Bootstrap Framework.
MVC


Beneficios:

Buen ambiente laboral
Oportunidad de crecimiento
Capacitaciones
Tagged as: css3, desarrollador, html5, programador, SQL",https://cr.indeed.com/rc/clk?jk=cb717df313fd211f&fccid=0895accf661c1bad&vjs=3,"Montes de Oca, Provincia de San José",Professional Practice Pasantia
43,Confidential,"About YouWe're looking for a forward thinking, engaging, Full Stack Senior Wordpress Developer with the ability to work closely with our design & marketing teams and manage multiple clients WP sites.You will live and breathe development and will be able to demonstrate your ability solve complex problems and move quickly to support clients and their unusual requests.You will be hungry to learn and grow and in return you will be welcomed into a tight knit, evolving team that is part of a unique agency with ambitious growth plans, also you must understand the dynamic of a streamlined team and sometimes to get the best result you must go above and beyond the expected.Above all you will have the right attitude, have A+ written+spoken English, able to work 1pm-9pm (lots of US based clients) and have a positive outlook on coming to work everyday.Skills & Requirements5+ years of experienceProgramming Languages: JavaScript, HTML/CSS, and PHP (at a minimum)Extensive development experience. Considers development beyond the brief, and extends it to include commercial aspects and client considerationsAbility to manage custom Wordpress themes, develop page templates, spec theme enhancements and either perform theme updates or manage theme development to support leading-edge designs and UXDemonstrates high levels of attention to detail and standards of accuracy in all code deliverablesExperience working with modern technology stacks including Optimizely, Marketo, Google Analytics, Google Search Console, and Google Tag ManagerIn depth knowledge of contemporary SEO techniques, multi-variate testing, quality control, code review and testing processesAbility to manage website projects, work efficiently on time sensitive initiatives and effectively collaborate across marketing functionsMaintains regular day-to-day contact with key internal stakeholders to manage their expectationsWorks to ensure clear communication with internal and external contacts through the most appropriate methodConfident communication, both written and verbalNice to HaveB.S. in Computer Science or a related fieldJob Types: Full-time, Part-timeSalary: ₡8,580.00 to ₡12,580.00 /hourExperience:Wordpress: 5 years (Required)Language:English (Required)",https://cr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C42uWlTcvQuSvYOtAav8PzwEmyqfcTD3ltHWCdPLhdUYorS3opGZQvGm0d7zjEri2TF-bveZjPY36Yp6PvrnjIVoYoo6PeuoRWkw70Jaj2LlZUkADIviLskz246y2Lp7tuLFfqtnNFxT3VrI_uXwlNr3wwWP4-93NC-lNv9kJy4CBqNmqfwCsPZ3FE_mgMLL8dJ7oIwJbAnm1NNXhFP0CHILpBop1O800POZRQWH_uCeMX31Bzns_pFYGyvDQg7D5aebn5hdcOC3xLM1kX4_vWqYbhEDsb67fHIyCrRk1QkiqXdPaL-miMcpqcCXFxI4F0VHQBvAQiWyGZVGuP6Xi2cpQV6XLE9rH3xeFpNEAInd8cYMpJpsY8M_O5wCyPhBW6-1JfSbMNY4xfsh6as8nGIe1uP_1EZXX54kToo_6WEaOhaz-rdhei&p=10&fvj=1&vjs=3,"San José, Provincia de San José",Wordpress Developer - Senior - Full Stack
44,HP,"HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works. At HP, the future is yours to create!
Responsibilities:
As a technical developer intern in this team you will work closely in partnership with senior team members in order to manage data bases and develop code to extract data which will help our internal clients manage their business. You will be assigned to work on projects that will create enhancements and/or new solutions based on our clients' needs. Below are a few examples of the tasks you will be asked to execute:
Using current programming language and technologies, you will write code, complete programming tasks, perform testing and debugging and complete documentation and procedures for our data management.
Participate in analyzing requirements and high-level designs.
Code and maintain modules based on written and oral requirements and specifications.
Take ownership of existing code.
Give input to the team on task duration estimation, technical information, and issue resolution.
Education and Experience Required:
You must be currently enrolled in University under Systems Engineer, Computer Science, or relevant field. Below is a list of technical competencies:
Knowledgeable of MS SQL based solution development and Database Management & Administration (DBA)
Ability to take end user requirements and transform them into operational applications/tools
Desire to implement and extend their capabilities into proactive solutions (web based, GIS interfaces, etc.)
Knowledge in SQL programing and code
Basic knowledge of visualization tools such as Power BI, Tableau and QlikView.
Ability to effectively analyze and interpret large amounts of raw data
Advanced knowledge with Excel, PowerPoint, Project and Access and other business applications.
Microsoft Windows Certifications are a plus
Programming skills in languages like C#, Python, DAX, t-sql and javascript is a must.Soft skills:
Soft Skills
Strong work ethics and collaborative attitude
Self/starter Innovative thinker with analytical/problem solving skills
Growth mindset
Attention to detail
Oral and written communication skills (fluent in English)",https://cr.indeed.com/rc/clk?jk=84e6545c0dbb3d89&fccid=1b866506aec22461&vjs=3,"Heredia, Provincia de Heredia",Data & Analytics Intern
